Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
T672577C,NY,OMT,8488551514,09/19/2017,01:31P,NO PARKING-TAXI STAND,01/11/2018,65.00,60.00,44.68,0.00,0.00,169.68,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOVkZWNFRrRTlQUT09&locationName=_____________________)
91769KA,NY,COM,8488551885,09/21/2017,02:22P,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,0.00,115.00,014,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOVkdjMFRsRTlQUT09&locationName=_____________________)
AC77860,CT,PAS,8488552920,09/29/2017,02:00P,FAIL TO DSPLY MUNI METER RECPT,01/18/2018,65.00,60.00,45.38,0.00,0.00,170.38,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOYW10NVRVRTlQUT09&locationName=_____________________)
XCBF92,NJ,PAS,8488553055,10/02/2017,04:12P,NO STANDING-DAY/TIME LIMITS,01/18/2018,115.00,60.00,60.70,0.00,0.00,235.70,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOZWtFeFRsRTlQUT09&locationName=_____________________)
51463MM,NY,COM,8836261851,09/17/2020,04:56P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,049,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOVkdjeFRWRTlQUT09&locationName=_____________________)
KEN5460,NY,PAS,8836262375,09/22/2020,12:14P,NO STANDING-EXC. AUTH. VEHICLE,,95.00,0.00,0.00,0.00,95.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOYWswelRsRTlQUT09&locationName=_____________________)
KDV4611,NY,PAS,8836262156,09/21/2020,12:22P,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOYWtVeFRtYzlQUT09&locationName=_____________________)
GFM1010,NY,PAS,8836261905,09/18/2020,12:27P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOVkd0M1RsRTlQUT09&locationName=_____________________)
U91GLT,NJ,PAS,8788158640,11/12/2020,05:45P,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,018,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FOUVSVEZQUkZrd1RVRTlQUT09&locationName=_____________________)
T731981C,NY,OMT,8488553560,10/06/2017,03:35P,OBSTRUCTING TRAFFIC/INTERSECT,01/25/2018,115.00,60.00,60.39,0.00,0.00,235.39,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOZWxVeVRVRTlQUT09&locationName=_____________________)
JPZ7425,NY,PAS,8836262545,09/22/2020,04:48P,CROSSWALK,,115.00,0.00,0.00,0.00,115.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOYWxVd1RsRTlQUT09&locationName=_____________________)
JBK9036,NY,PAS,8836262533,09/22/2020,02:53P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,0.00,35.00,0.00,046,BX,TRAFFIC,HEARING ADJOURNMENT,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOYWxWNlRYYzlQUT09&locationName=_____________________)
KDF5110,NY,PAS,8836262831,09/24/2020,11:51A,INSP STICKER-MUTILATED/C'FEIT,,65.00,0.00,0.00,0.00,65.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOYW1kNlRWRTlQUT09&locationName=_____________________)
DZZ9072,NY,PAS,2004010265,10/28/2021,09:02A,OBSTRUCTING DRIVEWAY,,95.00,0.00,0.00,0.00,95.00,0.00,066,Kings,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwNUVRWGhOUkVreVRsRTlQUT09&locationName=_____________________)
